Which of these areas of solar physics do you work in? Check all that apply.,How would you describe the stage of your career?,What country is your institution in?,Do you self-identify as one or more underrepresented minorities in solar physics? This question is optional.,Do you self-identify as a unrepresented gender identity in Solar Physics? This question is optional.,Do you use software in your research?,Have you had formal training in programming?,Which of the following statements is most applicable to you?,Which of the following have you personally utilized in your work within the last year?,Have you cited software papers in your published research?,Why haven’t you cited software in your research?,On which of these have you run software for solar-physics research?
"Observational (Space-Based), Observational (Ground-Based), Instrumentation",Postdoc,Brazil,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Theory",Graduate student,Costa Rica,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy, MATLAB, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster, Commercial cloud"
Theory,"Faculty, Staff Scientist, Researcher",Spain,No,No,Yes,No,I write mostly my own software.,"IDL, Python, Fortran",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",United States,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, C, Fortran, IRAF, Javascript, MATLAB, Spreadsheets (e.g. Excel), Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
Numerical Simulations,Postdoc,Mexico,Yes,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,Fortran,Sometimes,,Laptop / Desktop computer
"Observational (Space-Based), Theory","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Javascript, MATLAB, SQL, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Observational (Space-Based), Numerical Simulations",Postdoc,Japan,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel), OpenCV, Scipy and other Python Packages",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Spreadsheets (e.g. Excel), Maple",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations, Theory",Postdoc,Japan,No,No,Yes,No,Somewhere in between.,"Python, C++, Fortran, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations",Graduate student,Japan,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Fortran",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Observational (Space-Based), Observational (Ground-Based)","Faculty, Staff Scientist, Researcher",Japan,No,No,Yes,No,I mostly use software written by others.,"IDL, SolarSoft, Python, Shell scripting, HTML/CSS, Spreadsheets (e.g. Excel), CASA",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Javascript, HTML/CSS, ANA",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
Observational (Space-Based),Postdoc,India,No,No,Yes,No,Somewhere in between.,"IDL, SolarSoft, Python, Julia, R",No,I do not think it is necessary,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory",Postdoc,Japan,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, Shell scripting, Fortran, Javascript, HTML/CSS, Spreadsheets (e.g. Excel), MPI, Github (or similar)",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster"
Numerical Simulations,"Faculty, Staff Scientist, Researcher",Japan,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, Python, SunPy, Fortran, MPI, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Shared workstation, Regional or National Cluster"
Observational (Space-Based),"Faculty, Staff Scientist, Researcher",Japan,Yes,No,Yes,No,Somewhere in between.,"IDL, SolarSoft",Yes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Observational (Ground-Based)",Postdoc,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, MATLAB, SQL, HTML/CSS, Github (or similar)",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Undergraduate student,India,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, SolarSoft, Python, SunPy, C, C++, Fortran",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Japan,Yes,Yes,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, Python, SunPy, Shell scripting, Fortran, MATLAB, HTML/CSS",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Japan,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Theory, Instrumentation",Postdoc,China,Yes,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy",Yes,,Laptop / Desktop computer
Numerical Simulations,Graduate student,United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Fortran, MATLAB, Maple",Yes,,"Laptop / Desktop computer, Local Cluster"
Instrumentation,Hobbyist,United States,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Python, SunPy, Shell scripting, C, Perl, R, Git (github is a proprietary social networking platform, git is the software)",No,I do not think it is necessary,"Laptop / Desktop computer, GPU"
"Observational (Space-Based), Numerical Simulations, Theory",Postdoc,United Kingdom,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, Fortran, MATLAB",Yes,,"Laptop / Desktop computer, Local Cluster, GPU"
Observational (Space-Based),Postdoc,Ireland,No,Yes,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, R, SQL, Github (or similar)",Sometimes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Graduate student,Austria,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, Github (or similar)",Yes,,"Laptop / Desktop computer, Local Cluster"
Numerical Simulations,Postdoc,United States,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C++, Fortran, Mathematica",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",My role is something other than solar physics or software development,Japan,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,HTML/CSS,Sometimes,,Shared workstation
"Observational (Ground-Based), Instrumentation","Faculty, Staff Scientist, Researcher",Belgium,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"Python, C++, Fortran, SQL",No,I do not think it is necessary,Laptop / Desktop computer
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",United Kingdom,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, Python, Fortran, HTML/CSS, Maple",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, GPU"
"Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Spain,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I mostly use software written by others.,"IDL, Fortran, Mathematica",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory, Instrumentation","Faculty, Staff Scientist, Researcher",Germany,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, Shell scripting, C, Fortran",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations, Theory","Faculty, Staff Scientist, Researcher",Romania,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, Shell scripting, C, Fortran, SQL, Spreadsheets (e.g. Excel), MPI",Yes,,"Laptop / Desktop computer, Local Cluster"
Observational (Ground-Based),Graduate student,Germany,No,No,Yes,No,I write mostly my own software.,"IDL, Python, SunPy",No,I do not think it is necessary,"Laptop / Desktop computer, Shared workstation, Local Cluster"
Observational (Space-Based),Postdoc,China,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft",Sometimes,,"Laptop / Desktop computer, Shared workstation"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",France,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Shell scripting, C++, Fortran, SQL, HTML/CSS, MPI, Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster, Regional or National Cluster, GPU"
Observational (Ground-Based),Graduate student,Germany,Yes,,Yes,No,Somewhere in between.,"IDL, Python",No,I am not sure how to appropriately cite software,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations","Faculty, Staff Scientist, Researcher",Austria,No,No,Yes,"Yes, a little (e.g. online classes, books, workshops)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, Shell scripting, Spreadsheets (e.g. Excel), Github (or similar)",Yes,,"Laptop / Desktop computer, Shared workstation"
Numerical Simulations,Graduate student,Brazil,,,Yes,"Yes, a little (e.g. online classes, books, workshops)",Somewhere in between.,"Python, C++",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations",Graduate student,India,,,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"IDL, SolarSoft, Python, SunPy, Fortran, MATLAB, MPI",Sometimes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based)",Software developer,Switzerland,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, C, Javascript, Java, R, SQL, HTML/CSS, Spreadsheets (e.g. Excel), Github (or similar), C# & .NET",Yes,,Laptop / Desktop computer
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Graduate student,Sweden,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",Somewhere in between.,"Python, SunPy, MATLAB, Spreadsheets (e.g. Excel), Mathematica",Yes,,"Laptop / Desktop computer, Shared workstation, Local Cluster"
"Observational (Space-Based), Observational (Ground-Based), Numerical Simulations",Retired,Netherlands,No,No,Yes,No,I write mostly my own software.,"IDL, SolarSoft, Shell scripting",Yes,,"Laptop / Desktop computer, Local Cluster"
"Observational (Space-Based), Numerical Simulations",Graduate student,South Korea,No,No,Yes,"Yes, a lot (e.g. CS courses at an undergraduate or graduate level)",I write mostly my own software.,"IDL, SolarSoft, Python, SunPy, C",No,I do not think it is necessary,Laptop / Desktop computer
